instrumental conductor|e|http://rdaregistry.info/Elements/e/P20368|http://rdaregistry.info/Elements/e/P20486|http://rdaregistry.info/Elements/e/P20545
instrumentalist|e|http://rdaregistry.info/Elements/e/P20376|http://rdaregistry.info/Elements/e/P20494|http://rdaregistry.info/Elements/e/P20553
interviewee|e|http://rdaregistry.info/Elements/e/P20354|http://rdaregistry.info/Elements/e/P20472|http://rdaregistry.info/Elements/e/P20531
interviewer|e|http://rdaregistry.info/Elements/e/P20337|http://rdaregistry.info/Elements/e/P20455|http://rdaregistry.info/Elements/e/P20514
letterer|e|http://rdaregistry.info/Elements/e/P20387|http://rdaregistry.info/Elements/e/P20505|http://rdaregistry.info/Elements/e/P20564
lighting designer|e|http://rdaregistry.info/Elements/e/P20344|http://rdaregistry.info/Elements/e/P20462|http://rdaregistry.info/Elements/e/P20521
makeup artist|e|http://rdaregistry.info/Elements/e/P20341|http://rdaregistry.info/Elements/e/P20459|http://rdaregistry.info/Elements/e/P20518
minute taker|e|http://rdaregistry.info/Elements/e/P20392|http://rdaregistry.info/Elements/e/P20510|http://rdaregistry.info/Elements/e/P20569
mixing engineer|e|http://rdaregistry.info/Elements/e/P20348|http://rdaregistry.info/Elements/e/P20503|http://rdaregistry.info/Elements/e/P20385
moderator|e|http://rdaregistry.info/Elements/e/P20373|http://rdaregistry.info/Elements/e/P20491|http://rdaregistry.info/Elements/e/P20550
music programmer|e|http://rdaregistry.info/Elements/e/P20362|http://rdaregistry.info/Elements/e/P20480|http://rdaregistry.info/Elements/e/P20539
musical director|e|http://rdaregistry.info/Elements/e/P20342|http://rdaregistry.info/Elements/e/P20460|http://rdaregistry.info/Elements/e/P20519
narrator|e|http://rdaregistry.info/Elements/e/P20378|http://rdaregistry.info/Elements/e/P20496|http://rdaregistry.info/Elements/e/P20555
onscreen participant|e|http://rdaregistry.info/Elements/e/P20363|http://rdaregistry.info/Elements/e/P20481|http://rdaregistry.info/Elements/e/P20540
panelist|e|http://rdaregistry.info/Elements/e/P20375|http://rdaregistry.info/Elements/e/P20493|http://rdaregistry.info/Elements/e/P20552
performer|e|http://rdaregistry.info/Elements/e/P20351|http://rdaregistry.info/Elements/e/P20469|http://rdaregistry.info/Elements/e/P20528
presenter|e|http://rdaregistry.info/Elements/e/P20388|http://rdaregistry.info/Elements/e/P20506|http://rdaregistry.info/Elements/e/P20565
production designer|e|http://rdaregistry.info/Elements/e/P20391|http://rdaregistry.info/Elements/e/P20509|http://rdaregistry.info/Elements/e/P20568
puppeteer|e|http://rdaregistry.info/Elements/e/P20374|http://rdaregistry.info/Elements/e/P20492|http://rdaregistry.info/Elements/e/P20551
recording engineer|e|http://rdaregistry.info/Elements/e/P20386|http://rdaregistry.info/Elements/e/P20504|http://rdaregistry.info/Elements/e/P20563
recordist|e|http://rdaregistry.info/Elements/e/P20358|http://rdaregistry.info/Elements/e/P20476|http://rdaregistry.info/Elements/e/P20535
related person|e|http://rdaregistry.info/Elements/e/P20302|USE: related body|USE: related family
related body|e|USE: related person|http://rdaregistry.info/Elements/e/P20304|USE: related family
related family|e|USE: related person|USE: related body|http://rdaregistry.info/Elements/e/P20303
restorationist|e|http://rdaregistry.info/Elements/e/P20355|http://rdaregistry.info/Elements/e/P20473|http://rdaregistry.info/Elements/e/P20532
reviser|e|http://rdaregistry.info/Elements/e/P20347|http://rdaregistry.info/Elements/e/P20465|http://rdaregistry.info/Elements/e/P20524
singer|e|http://rdaregistry.info/Elements/e/P20382|http://rdaregistry.info/Elements/e/P20500|http://rdaregistry.info/Elements/e/P20559
software developer|e|http://rdaregistry.info/Elements/e/P20353|http://rdaregistry.info/Elements/e/P20471|http://rdaregistry.info/Elements/e/P20530
sound designer|e|http://rdaregistry.info/Elements/e/P20343|http://rdaregistry.info/Elements/e/P20461|http://rdaregistry.info/Elements/e/P20520
speaker|e|http://rdaregistry.info/Elements/e/P20380|http://rdaregistry.info/Elements/e/P20498|http://rdaregistry.info/Elements/e/P20557
special effects provider|e|http://rdaregistry.info/Elements/e/P20360|http://rdaregistry.info/Elements/e/P20478|http://rdaregistry.info/Elements/e/P20537
stage director|e|http://rdaregistry.info/Elements/e/P20364|http://rdaregistry.info/Elements/e/P20482|http://rdaregistry.info/Elements/e/P20541
storyteller|e|http://rdaregistry.info/Elements/e/P20379|http://rdaregistry.info/Elements/e/P20497|http://rdaregistry.info/Elements/e/P20556
